choice,RT,trial,reward
1,0.31852061870290926,4,1
1,0.2817068174417882,5,1
1,0.6281590787425345,8,1
1,0.657423355759676,11,1
1,0.5047218269817951,12,1
1,0.5249878170964032,13,1
1,0.4185178000762287,15,1
1,0.1924481707230462,16,1
1,0.16451564682409903,17,0
1,0.4372865337724447,18,1
1,0.18474027455527509,19,0
1,0.20297496465929815,20,1
1,1.4407633621076565,21,1
1,0.29516949048141705,22,1
1,0.28989228238429615,24,1
1,0.24243212292209057,26,1
1,0.5282570872645761,27,1
1,0.5859079527559657,29,1
1,0.4999941657928697,31,1
1,0.23921568887361158,32,1
1,0.16819959186563158,33,1
1,0.17150289583345665,34,1
1,0.48042673002737907,35,1
1,0.17503154975013568,36,1
1,0.22740571244249572,37,1
1,0.17123589455291513,38,1
1,0.29980178869350993,39,1
1,0.3413383397138105,40,0
1,0.3530623668933191,43,1
1,0.30457510644553204,44,1
1,0.19575142985063515,45,1
1,0.1364776975542589,46,1
1,0.22308808984195,49,1
1,0.16658241351035094,51,1
1,0.24991372737743972,52,1
1,1.5217626342669903,53,0
1,0.1417668690311144,54,1
1,0.3167944848450949,55,1
1,0.1412192385929119,56,1
1,0.5515616183866641,57,1
1,0.24362192070166966,58,1
1,0.1375921384017401,61,1
1,0.17432487012238146,62,0
1,0.14666859437943938,63,1
1,0.615915750629137,64,1
1,0.3436058178879903,65,1
1,0.26897873243755877,66,1
1,0.21111094119369694,67,1
1,0.23633109450225345,68,1
1,0.6414744463019979,69,1
1,0.5268176769170837,70,1
1,0.14945947523872255,71,1
1,0.3920671406625227,72,1
1,0.2555636311656054,73,1
1,0.6143284809313807,74,1
1,0.20005306150533547,75,1
1,0.2730757627690175,76,1
1,0.25544392188944803,77,1
1,0.3237290373139202,79,1
1,0.24936256308213825,81,1
1,0.3829862082976372,82,1
1,0.18084139269787267,83,1
1,0.1413680444614308,84,1
1,0.26026982070854976,85,1
1,0.16254586477400831,86,1
1,0.16404328424359796,87,1
1,0.31395200711004395,88,1
1,0.20604276790666506,93,1
1,0.3130232054617114,94,1
1,0.39395056943312895,96,1
1,0.7323211377977357,98,1
1,0.5284153690168267,99,1
1,0.22445980946884064,100,0
1,0.6567399914512217,102,1
1,0.3083731627140849,103,0
1,0.46062764530384315,104,1
1,0.5086274538732448,105,1
1,0.15931957008740844,106,1
1,0.12424235971595894,107,1
1,0.3625938607328928,110,1
1,0.3191656105065505,111,1
1,0.1970895848488954,112,1
1,0.14921197188118898,113,1
1,0.3397719699107493,114,1
1,0.32039924877293136,115,1
1,0.21683390679465764,116,0
1,0.8772158580709095,120,1
1,0.1921143104246943,121,1
1,0.17938908267212125,123,1
1,0.2764777891494823,124,1
